1_A1:1,A1,,,,,,
1_A3:2,A2,,,,,,
1_A5:3,A3,,,,,,
1_A7:4,A4,,,,,,
1_A9:5,A5,,,,,,
1_A11:6,A6,,,,,,
2_A1:7,A7,,,,,,
2_A3:8,A8,,,,,,
2_A5:9,A9,,,,,,
2_A7:10,A10,,,,,,
2_A9:11,A11,,,,,,
2_A11:12,A12,,,,,,
3_A1:13,A13,,,,,,
3_A3:14,A14,,,,,,
3_A5:15,A15,,,,,,
3_A7:16,A16,,,,,,
3_A9:17,A17,,,,,,
3_A11:18,A18,,,,,,
4_A1:19,A19,,,,,,
4_A3:20,A20,,,,,,
4_A5:21,A21,,,,,,
4_A7:22,A22,,,,,,
4_A9:23,A23,,,,,,
4_A11:24,A24,,,,,,
1_A2:25,B1,,,,,,
1_A4:26,B2,,,,,,
1_A6:27,B3,,,,,,
1_A8:28,B4,,,,,,
1_A10:29,B5,,,,,,
1_A12:30,B6,,,,,,
2_A2:31,B7,,,,,,
2_A4:32,B8,,,,,,
2_A6:33,B9,,,,,,
2_A8:34,B10,,,,,,
2_A10:35,B11,,,,,,
2_A12:36,B12,,,,,,
3_A2:37,B13,,,,,,
3_A4:38,B14,,,,,,
3_A6:39,B15,,,,,,
3_A8:40,B16,,,,,,
3_A10:41,B17,,,,,,
3_A12:42,B18,,,,,,
4_A2:43,B19,,,,,,
4_A4:44,B20,,,,,,
4_A6:45,B21,,,,,,
4_A8:46,B22,,,,,,
4_A10:47,B23,,,,,,
4_A12:48,B24,,,,,,
1_B1:49,C1,,,,,,
1_B3:50,C2,,,,,,
1_B5:51,C3,,,,,,
1_B7:52,C4,,,,,,
1_B9:53,C5,,,,,,
1_B11:54,C6,,,,,,
2_B1:55,C7,,,,,,
2_B3:56,C8,,,,,,
2_B5:57,C9,,,,,,
2_B7:58,C10,,,,,,
2_B9:59,C11,,,,,,
2_B11:60,C12,,,,,,
3_B1:61,C13,,,,,,
3_B3:62,C14,,,,,,
3_B5:63,C15,,,,,,
3_B7:64,C16,,,,,,
3_B9:65,C17,,,,,,
3_B11:66,C18,,,,,,
4_B1:67,C19,,,,,,
4_B3:68,C20,,,,,,
4_B5:69,C21,,,,,,
4_B7:70,C22,,,,,,
4_B9:71,C23,,,,,,
4_B11:72,C24,,,,,,
1_B2:73,D1,,,,,,
1_B4:74,D2,,,,,,
1_B6:75,D3,,,,,,
1_B8:76,D4,,,,,,
1_B10:77,D5,,,,,,
1_B12:78,D6,,,,,,
2_B2:79,D7,,,,,,
2_B4:80,D8,,,,,,
2_B6:81,D9,,,,,,
2_B8:82,D10,,,,,,
2_B10:83,D11,,,,,,
2_B12:84,D12,,,,,,
3_B2:85,D13,,,,,,
3_B4:86,D14,,,,,,
3_B6:87,D15,,,,,,
3_B8:88,D16,,,,,,
3_B10:89,D17,,,,,,
3_B12:90,D18,,,,,,
4_B2:91,D19,,,,,,
4_B4:92,D20,,,,,,
4_B6:93,D21,,,,,,
4_B8:94,D22,,,,,,
4_B10:95,D23,,,,,,
4_B12:96,D24,,,,,,
1_C1:97,E1,,,,,,
1_C3:98,E2,,,,,,
1_C5:99,E3,,,,,,
1_C7:100,E4,,,,,,
1_C9:101,E5,,,,,,
1_C11:102,E6,,,,,,
2_C1:103,E7,,,,,,
2_C3:104,E8,,,,,,
2_C5:105,E9,,,,,,
2_C7:106,E10,,,,,,
2_C9:107,E11,,,,,,
2_C11:108,E12,,,,,,
3_C1:109,E13,,,,,,
3_C3:110,E14,,,,,,
3_C5:111,E15,,,,,,
3_C7:112,E16,,,,,,
3_C9:113,E17,,,,,,
3_C11:114,E18,,,,,,
4_C1:115,E19,,,,,,
4_C3:116,E20,,,,,,
4_C5:117,E21,,,,,,
4_C7:118,E22,,,,,,
4_C9:119,E23,,,,,,
4_C11:120,E24,,,,,,
1_C2:121,F1,,,,,,
1_C4:122,F2,,,,,,
1_C6:123,F3,,,,,,
1_C8:124,F4,,,,,,
1_C10:125,F5,,,,,,
1_C12:126,F6,,,,,,
2_C2:127,F7,,,,,,
2_C4:128,F8,,,,,,
2_C6:129,F9,,,,,,
2_C8:130,F10,,,,,,
2_C10:131,F11,,,,,,
2_C12:132,F12,,,,,,
3_C2:133,F13,,,,,,
3_C4:134,F14,,,,,,
3_C6:135,F15,,,,,,
3_C8:136,F16,,,,,,
3_C10:137,F17,,,,,,
