GEN51A463 , 7567-17_QAML , 12.5
GEN51A462 , 7565-17_QAML , 12
GEN51A461 , 7564-17_QAML , 10.5
GEN51A460 , 7561-17_QAML , 13.4
GEN51A459 , 7553-17_QAML , 13.3
GEN51A458 , 7551-17_QAML , 14.2
GEN51A520 , 7920-17_QAML , 0.717
GEN51A519 , 7919-17_QAML , 15.3
GEN51A518 , 7878-17_QAML , 15
GEN51A517 , 7877-17_QAML , 16.6
GEN51A516 , 7864-17_QAML , 14.9
GEN51A515 , 7862-17_QAML , 17.9
GEN51A514 , 7818-17_QAML , 14.1
GEN51A513 , 7813-17_QAML , 18.3
GEN51A512 , 7733-17_QAML , 15
GEN51A511 , 7732-17_QAML , 11.6
GEN51A510 , 7731-17_QAML , 15.8
GEN51A509 , 7623-17_QAML , 15.1
GEN51A508 , 7622-17_QAML , 14.9
GEN51A507 , 7529-17_QAML , 12.4
GEN51A506 , 7526-17_QAML , 12.2
GEN51A505 , 7416-17_QAML , 14
GEN51A504 , 7411-17_QAML , 13.7
GEN51A503 , 7325-17_QAML , 14.2
GEN51A502 , 7279-17_QAML , 4.92
GEN51A501 , 4686-17_QAML , 17.7
GEN51A500 , 4129-17_QAML , 10.7
GEN51A499 , 3203-16_QAML , 20.8
GEN51A467 , 7671-17_QAML , 14.2
GEN51A466 , 7669-17_QAML , 16.8
GEN51A520 , 7920-17_QAML , 11.3
GEN51A564 , 57948_QAML , 14.3
GEN51A563 , 57263_QAML , 14.3
GEN51A562 , 44560_QAML , 14.2
GEN51A561 , 55150_QAML , 14
GEN51A560 , 51997_QAML , 12.9
GEN51A559 , 8124-17_QAML , 12.6
GEN51A558 , 8122-17_QAML , 12.2
GEN51A557 , 8011-17_QAML , 13.6
GEN51A556 , 8008-17_QAML , 12.2
GEN51A555 , 7970-17_QAML , 12.4
GEN51A554 , 7969-17_QAML , 15.3
GEN51A553 , 7848-17_QAML , 13.6
GEN51A552 , 7847-17_QAML , 15.5
GEN51A551 , 7822-17_QAML , 12.1
GEN51A550 , 7820-17_QAML , 17.6
PAT2A718 , 17PL23057_QAML , 5.94
GEN51A583 , 8336-17_QAML , 9.8
GEN51A582 , 8333-17_QAML , 10.2
GEN51A581 , 8283-17_QAML , 11.5
GEN51A580 , 8282-17_QAML , 8.84
GEN51A579 , 8277-17_QAML , 11.4
GEN51A578 , 8272-17_QAML , 12.1
GEN51A577 , 8202-17_QAML , 9.47
GEN51A576 , 8201-17_QAML , 13.8
GEN51A575 , 8147-17_QAML , 11.8
GEN51A574 , 8146-17_QAML , 12.6
GEN51A573 , 8042-17_QAML , 8.8
GEN51A572 , 8041-17_QAML , 9.38
GEN51A571 , 55292_QAML , 11.9
GEN51A570 , 54647_QAML , 14.4
GEN51A569 , 54418_QAML , 15.2
GEN51A568 , 53741_QAML , 11.4
GEN51A628 , 8570-17_QAML , 10.7
GEN51A627 , 8569-17_QAML , 13
GEN51A626 , 8557-17_QAML , 12.3
GEN51A625 , 8555-17_QAML , 14.1
GEN51A624 , 8521-17_QAML , 11.6
GEN51A623 , 8520-17_QAML , 14.5
GEN51A622 , 8509-17_QAML , 12.5
GEN51A621 , 8508-17_QAML , 13.4
GEN51A620 , 8420-17_QAML , 12.6
GEN51A619 , 8419-17_QAML , 16
GEN51A618 , 8188-17_QAML , 12.9
GEN51A617 , 8187-17_QAML , 15
PAT2A765 , 17PL22345_QAML , 3.81
PAT2A753 , 17PL23960_QAML , 5.72
PAT2A782 , 17HL02422_QAML , 3.37
GEN51A681 , 8786-17_QAML , 8.75
GEN51A680 , 8785-17_QAML , 17.2
GEN51A679 , 8776-17_QAML , 9.26
GEN51A678 , 8775-17_QAML , 16.6
GEN51A677 , 8767-17_QAML , 17.9
GEN51A676 , 8754-17_QAML , 15
GEN51A675 , 8752-17_QAML , 15.2
GEN51A674 , 8722-17_QAML , 13.8
GEN51A673 , 8720-17_QAML , 13.7
GEN51A672 , 8602-17_QAML , 12.7
GEN51A671 , 8601-17_QAML , 15
GEN51A670 , 8545-17_QAML , 11.4
GEN51A669 , 8544-17_QAML , 15
GEN51A668 , 3711-17_QAML , 12.2
GEN51A735 , 9299-17_QAML , 16
GEN51A734 , 9281-17_QAML , 11.7
GEN51A733 , 9279-17_QAML , 15.4
GEN51A732 , 9130-17_QAML , 14.7
GEN51A731 , 9128-17_QAML , 15
GEN51A730 , 8943-17_QAML , 13.3
GEN51A729 , 8942-17_QAML , 16.1
GEN51A728 , 8937-17_QAML , 14.3
GEN51A727 , 8934-17_QAML , 8.73
GEN51A726 , 8647-17_QAML , 10.8
GEN51A725 , 8646-17_QAML , 13.3
GEN51A724 , 8617-17_QAML , 12
GEN51A723 , 8616-17_QAML , 12.6
GEN51A764 , 9526-17_QAML , 13.5
GEN51A763 , 9525-17_QAML , 14.7
GEN51A762 , 9462-17_QAML , 15.8
GEN51A761 , 9461-17_QAML , 15
GEN51A760 , 9400-17_QAML , 16.6
GEN51A759 , 9399-17_QAML , 14.8
GEN51A758 , 9336-17_QAML , 12.3
GEN51A757 , 9335-17_QAML , 15.6
GEN51A839 , 9693-17_QAML , 15.1
GEN51A838 , 9692-17_QAML , 15.6
GEN51A837 , 9672-17_QAML , 13.9
GEN51A836 , 9671-17_QAML , 14
GEN51A835 , 9652-17_QAML , 16.2
GEN51A834 , 9651-17_QAML , 11.8
GEN51A833 , 9535-17_QAML , 13.7
GEN51A832 , 9534-17_QAML , 15.1
GEN51A831 , 9528-17_QAML , 13.6
GEN51A830 , 9527-17_QAML , 14.1
GEN51A829 , 9519-17_QAML , 14.6
GEN51A828 , 9518-17_QAML , 13.7
GEN51A827 , 9338-17_QAML , 13.6
GEN51A826 , 9337-17_QAML , 13.7
GEN51A899 , 9969-17_QAML , 13.4
GEN51A898 , 9967-17_QAML , 15.7
GEN51A897 , 9883-17_QAML , 13.8
GEN51A896 , 9882-17_QAML , 17
GEN51A895 , 9866-17_QAML , 14.6
GEN51A894 , 9850-17_QAML , 12.6
GEN51A893 , 9752-17_QAML , 13.4
GEN51A892 , 9751-17_QAML , 15.3
GEN51A891 , 9743-17_QAML , 15.5
GEN51A890 , 9742-17_QAML , 18.8
GEN51A889 , 9741-17_QAML , 11.9
GEN51A888 , 9727-17_QAML , 11.4
GEN51A887 , 9726-17_QAML , 15.6
GEN51A886 , 9590-17_QAML , 13.8
GEN51A885 , 9583-17_QAML , 11.5
GEN51A884 , 9582-17_QAML , 13.6
GEN51A883 , 8956-17_QAML , 13.4
GEN51A882 , 6380-17_QAML , 13.3
GEN51A920 , 10130-17_QAML , 15
GEN51A919 , 10132-17_QAML , 14.5
GEN51A918 , 10157-17_QAML , 15.1
GEN51A917 , 10158-17_QAML , 12.2
GEN51A916 , 10160-17_QAML , 9.06
GEN51A915 , 9832-17_QAML , 12.7
GEN51A914 , 9829-17_QAML , 14.6
GEN51A913 , 9672-17_QAML , 12.6
GEN51A912 , 9671-17_QAML , 14.4
GEN51A911 , 8776-17_QAML , 11
GEN51A910 , 8775-17_QAML , 16.5
GEN51A975 , 10058-17_QAML , 17.7
GEN51A974 , 10059-17_QAML , 17.6
GEN51A973 , 10130-17_QAML , 17.1
GEN51A972 , 10132-17_QAML , 17.9
GEN51A971 , 10292-17_QAML , 18.5
GEN51A970 , 10293-17_QAML , 16.4
GEN51A969 , 10495-17_QAML , 17
GEN51A968 , 10558-17_QAML , 16.8
GEN51A967 , 10606-17_QAML , 17.1
GEN51A966 , 10607-17_QAML , 12.8
GEN51A965 , 10727-17_QAML , 18.1
GEN51A964 , 10731-17_QAML , 12.3
GEN51A963 , 10929-17_QAML , 17.5
GEN51A962 , 11001-17_QAML , 19
GEN51A961 , 9742-17_QAML , 21
GEN51A960 , 9743-17_QAML , 15.8
GEN51A1027 , 10903-17_QAML , 8.13
GEN51A1026 , 10876-17_QAML , 10.7
GEN51A1025 , 10827-17_QAML , 11.7
GEN51A1024 , 10826-17_QAML , 9.52
GEN51A1023 , 10775-17_QAML , 14.3
GEN51A1022 , 10765-17_QAML , 15
GEN51A975 , 10058-17_QAML , 14.6
GEN51A974 , 10059-17_QAML , 12.8
GEN51A971 , 10292-17_QAML , 15.9
GEN51A970 , 10293-17_QAML , 13.1
GEN51A969 , 10495-17_QAML , 13.1
GEN51A968 , 10558-17_QAML , 13.9
GEN51A967 , 10606-17_QAML , 16
GEN51A966 , 10607-17_QAML , 9.5
GEN51A965 , 10727-17_QAML , 14.7
GEN51A964 , 10731-17_QAML , 10.9
GEN51A963 , 10929-17_QAML , 13.3
GEN51A962 , 11001-17_QAML , 15.8
GEN51A1053 , 11202-17_QAML , 16.8
GEN51A1052 , 11201-17_QAML , 15.7
GEN51A1051 , 11000-17_QAML , 7.91
GEN51A1050 , 10999-17_QAML , 10.9
GEN51A1049 , 10859-17_QAML , 14.2
GEN51A1048 , 10857-17_QAML , 14
GEN51A1047 , 10856-17_QAML , 13.3
GEN51A1046 , 10855-17_QAML , 14.6
ALL203A16 , 4686-17_QAML , 14.6
ALL203A15 , 11418-17_QAML , 17.4
ALL203A14 , 11389-17_QAML , 16.5
ALL203A13 , 11388-17_QAML , 17.4
ALL203A12 , 11360-17_QAML , 14.6
ALL203A11 , 11358-17_QAML , 17.1
ALL203A10 , 11253-17_QAML , 14.1
ALL203A9 , 11252-17_QAML , 17.5
ALL203A8 , 11204-17_QAML , 16
ALL203A7 , 11203-17_QAML , 12.7
ALL203A6 , 11003-17_QAML , 14.7
ALL203A5 , 11002-17_QAML , 13.4
ALL203A4 , 10859-17_QAML , 13.2
ALL203A3 , 10855-17_QAML , 13.1
ALL203A2 , 10685-17_QAML , 14.9
ALL203A1 , 10683-17_QAML , 15.4
ALL203A41 , hMF-6-GL_QAML , 7.92
