GEN51A44,2017-05-30
GEN51A52,2017-05-30
GEN51A562,2017-10-03
GEN51A560,2017-10-03
GEN51A568,2017-10-10
GEN51A569,2017-10-10
GEN51A570,2017-10-10
GEN51A561,2017-10-03
GEN51A571,2017-10-10
GEN51A563,2017-10-03
GEN51A564,2017-10-03
PAT2A603,2017-08-18
PAT2A765,2017-10-16
PAT2A718,2017-10-02
ALL203A274,2018-06-26
ALL203A275,2018-06-26
ALL203A276,2018-06-26
ALL203A277,2018-06-26
ALL358A308,2019-03-25
ALL358A309,2019-03-25
ALL358A310,2019-03-25
ALL358A311,2019-03-25
ALL358A312,2019-03-25
ALL358A313,2019-03-25
ALL358A314,2019-03-25
ALL358A467,2019-05-14
ALL358A468,2019-05-14
ALL358A469,2019-05-14
ALL358A470,2019-05-14
ALL358A471,2019-05-14
ALL358A472,2019-05-14
ALL358A473,2019-05-14
ALL358A474,2019-05-14
ALL358A475,2019-05-14
ALL358A476,2019-05-14
ALL358A477,2019-05-14
ALL358A478,2019-05-14
ALL358A479,2019-05-14
ALL358A480,2019-05-14
ALL358A481,2019-05-14
ALL358A482,2019-05-14
ALL358A483,2019-05-14
ALL358A484,2019-05-14
ALL358A485,2019-05-14
ALL358A486,2019-05-14
ALL358A487,2019-05-14
