24-16237
2018-02-12
18PL06146_RNA , 1764 , ALL251A97
24-19045
2018-03-14
18PL05359_DNA , 5668 , ALL251A114
18PL04993_DNA , 2986 , ALL251A113
18PL04567_DNA , 1896 , ALL251A112
18CL03283_DNA , 4132 , ALL251A111
18PM06773_DNA , 1426 , ALL251A116
18PL07177_DNA , 2836 , ALL251A115
17PL29511_RNA , 196 , ALL251A110
17PL13602_RNA , 130 , ALL251A109
17PL05755_RNA , 402 , ALL251A108
16PL18312_RNA , 338 , ALL251A107
18PL05359_RNA , 5518 , ALL251A106
18PL04993_RNA , 150 , ALL251A105
18PL04567_RNA , 1122 , ALL251A104
18CL03283_RNA , 2480 , ALL251A103
24-19329
2018-03-19
2386-18_CF , 1356 , ALL301A17
1856-18_CF , 1320 , ALL301A16
918-18_CF , 1160 , ALL301A15
18PL07155_DNA , 164 , ALL251A132
18PL06476-02_DNA , 1386 , ALL251A131
18PL06476-01_DNA , 1828 , ALL251A130
18PL05675_DNA , 3708 , ALL251A129
18PH03040_DNA , 1662 , ALL251A124
18CL03771_DNA , 8374 , ALL251A123
18PL07770_DNA , 3272 , ALL251A133
18PL04893_DNA , 3372 , ALL251A128
18PH03964_DNA , 2296 , ALL251A127
18PH03960_DNA , 4180 , ALL251A126
18PH03665_DNA , 3450 , ALL251A125
17PL29511_RNA , 2064 , ALL251A110
17PL13602_RNA , 670 , ALL251A109
18PL07155_RNA , 1946 , ALL251A122
18PL06476-02_RNA , 1186 , ALL251A121
18PL06476-01_RNA , 3560 , ALL251A120
18PL05675_RNA , 2288 , ALL251A119
18PH03040_RNA , 864 , ALL251A118
18CL03771_RNA , 2728 , ALL251A117
24-19552
2018-03-21
18PL07768_DNA , 486 , ALL251A146
18PL07632_DNA , 2190 , ALL251A145
18PL07498_DNA , 6180 , ALL251A144
18PL07390_DNA , 8460 , ALL251A143
18PK03127_DNA , 724 , ALL251A141
18PH03569_DNA , 2334 , ALL251A140
18PL07966_DNA , 340 , ALL251A147
18PL07173_DNA , 2104 , ALL251A142
18PL07768_RNA , 1912 , ALL251A139
18PL07632_RNA , 4316 , ALL251A138
18PL07498_RNA , 3332 , ALL251A137
18PL07390_RNA , 3390 , ALL251A136
18PK03127_RNA , 342 , ALL251A135
18PH03569_RNA , 2202 , ALL251A134
18PL07155_DNA , 3180 , ALL251A132
24-19756
2018-03-26
18PL07392_DNA , 7486 , ALL251A161
18PL07204_DNA , 174 , ALL251A160
18PH03726_DNA , 2486 , ALL251A156
18CL04039_DNA , 5452 , ALL251A155
18CL03922_DNA , 6396 , ALL251A154
18PM07828_DNA , 3554 , ALL251A163
18PK03698_DNA , 792 , ALL251A159
18PK03633_DNA , 1650 , ALL251A158
18PL07956_DNA , 1112 , ALL251A162
18PK02218_DNA , 440 , ALL251A157
17PL31613_DNA , 994 , ALL251A153
18PL07392_RNA , 1142 , ALL251A152
18PL07204_RNA , 60 , ALL251A151
18PH03726_RNA , 3380 , ALL251A150
18CL04039_RNA , 806 , ALL251A149
18CL03922_RNA , 6894 , ALL251A148
24-20073
2018-03-28
18PL08752_DNA , 2700 , ALL251A181
18PL08719_DNA , 836 , ALL251A180
18PL08694_DNA , 792 , ALL251A179
18PL08573_DNA , 1468 , ALL251A178
18PL08566_DNA , 1804 , ALL251A177
18PL08416_DNA , 1894 , ALL251A176
18PL08351_DNA , 488 , ALL251A175
18PL08199_DNA , 1006 , ALL251A174
18PL08179_DNA , 1004 , ALL251A173
18PL07845_DNA , 1206 , ALL251A172
18CH00460_DNA , 7692 , ALL251A171
17PL25630_DNA , 434 , ALL251A170
18PL08351_RNA , 398 , ALL251A169
18PL08199_RNA , 1882 , ALL251A168
18PL08179_RNA , 1122 , ALL251A167
18PL07845_RNA , 2506 , ALL251A166
18CH00460_RNA , 3406 , ALL251A165
17PL25630_RNA , 1502 , ALL251A164
24-20398
2018-04-05
18PK03774_DNA , 612 , ALL251A191
18PH03974_DNA , 790 , ALL251A189
18CL04339_DNA , 3776 , ALL251A188
18CL04249_DNA , 2374 , ALL251A187
18PL09258_DNA , 480 , ALL251A196
18PL09107_DNA , 208 , ALL251A195
18PL09022_DNA , 210 , ALL251A194
18PL05345_DNA , 1332 , ALL251A193
18PL00160_DNA , 242 , ALL251A192
18PH04948_DNA , 994 , ALL251A190
18PM08348_DNA , 18 , ALL251A200
18PM08210_DNA , 3402 , ALL251A199
18PM07796_DNA , 720 , ALL251A198
18PL09463_DNA , 722 , ALL251A197
18PL09463_RNA , 1058 , ALL251A186
18PK03774_RNA , 1032 , ALL251A185
18PH03974_RNA , 2930 , ALL251A184
18CL04339_RNA , 4748 , ALL251A183
18CL04249_RNA , 3102 , ALL251A182
24-20563
2018-04-09
18PK03891_DNA , 672 , ALL251A213
18PH04488_DNA , 1360 , ALL251A212
18PH04085_DNA , 2476 , ALL251A211
18CL04630_DNA , 3778 , ALL251A209
18CL04475_DNA , 3478 , ALL251A208
18PL09070_DNA , 828 , ALL251A215
18PM08348_DNA , 68 , ALL251A200
18PL07469_RNA , 7532 , ALL251A207
18PK03891_RNA , 244 , ALL251A206
18PH04488_RNA , 2488 , ALL251A205
18PH04085_RNA , 3524 , ALL251A204
18CL04740_RNA , 1902 , ALL251A203
18CL04630_RNA , 4222 , ALL251A202
18CL04475_RNA , 1328 , ALL251A201
24-20857
2018-04-11
2969-18_CF , 1036 , ALL301A21
2671-18_CF , 1268 , ALL301A20
2524-18_CF , 216 , ALL301A19
2523-18_CF , 1384 , ALL301A18
18PL08862_DNA , 212 , ALL251A227
18PL08761_DNA , 1676 , ALL251A226
18PL05723_DNA , 112 , ALL251A225
18PH04258_DNA , 1554 , ALL251A224
18PL08862_RNA , 374 , ALL251A219
18PL08761_RNA , 1772 , ALL251A218
18PL05723_RNA , 70 , ALL251A217
24-21083
2018-04-16
18PL10089_DNA , 240 , ALL251A249
18PL09989_DNA , 704 , ALL251A247
18PL09836_DNA , 2644 , ALL251A244
18PL10177_DNA , 1226 , ALL251A250
18PL10067_DNA , 3184 , ALL251A248
18PL09838_DNA , 1780 , ALL251A246
18PL09837_DNA , 1656 , ALL251A245
18PL10239_DNA , 7168 , ALL251A251
18PM09808_DNA , 12926 , ALL251A255
18PL10672_DNA , 2992 , ALL251A254
18PL10410_DNA , 4340 , ALL251A253
18PL10240_DNA , 2238 , ALL251A252
18PL10177_RNA , 1262 , ALL251A235
18PL10067_RNA , 6590 , ALL251A234
18PL09838_RNA , 3434 , ALL251A233
18PL09837_RNA , 3354 , ALL251A232
18PL09497_RNA , 430 , ALL251A231
18PL09494_RNA , 712 , ALL251A230
18PK03862_RNA , 578 , ALL251A229
18PK04317_DNA , 948 , ALL251A240
18PK04233_DNA , 168 , ALL251A239
18PH04231_DNA , 562 , ALL251A236
18PL09497_DNA , 244 , ALL251A243
18PL09494_DNA , 308 , ALL251A242
18PK03862_DNA , 1382 , ALL251A238
18PH05206_DNA , 2698 , ALL251A237
18PL07631_DNA , 2460 , ALL251A241
1856-18_CF , 1164 , ALL301A16
24-21266
2018-04-18
L18MOL3_DNA , 1868 , ALL251A274
L18MOL2_DNA , 1326 , ALL251A273
L18MOL1_DNA , 800 , ALL251A272
18PM068742_DNA , 218 , ALL251A271
18PM068741_DNA , 274 , ALL251A270
18PL10415_DNA , 1522 , ALL251A268
18PH05382_DNA , 232 , ALL251A267
18CL05600_DNA , 3984 , ALL251A266
18CL04955_DNA , 6820 , ALL251A265
18PL10892_DNA , 4674 , ALL251A269
L18MOL3_RNA , 412 , ALL251A264
L18MOL2_RNA , 2736 , ALL251A263
L18MOL1_RNA , 2560 , ALL251A262
18PM068741_RNA , 134 , ALL251A260
18PL10415_RNA , 706 , ALL251A259
18CL05600_RNA , 874 , ALL251A257
18CL04955_RNA , 18 , ALL251A256
18PM09808_DNA , 2956 , ALL251A255
